	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.21999999999999975E1


var_c	harmindex	freq[0, ::]
1.10000000000000009E0	0	0.00000000000000000E0
1.10000000000000009E0	1	2.65031026598366770E9
1.10000000000000009E0	2	5.30062053196733540E9
1.10000000000000009E0	3	7.95093079795100266E9
1.10000000000000009E0	4	1.06012410639346699E10
1.10000000000000009E0	5	1.32515513299183385E10
1.10000000000000009E0	6	1.59018615959020049E10
1.10000000000000009E0	7	1.85521718618856757E10
1.10000000000000009E0	8	2.12024821278693398E10
1.10000000000000009E0	9	2.38527923938530106E10
1.10000000000000009E0	10	2.65031026598366770E10

var_c	harmindex	freq[1, ::]
2.10000000000000009E0	0	0.00000000000000000E0
2.10000000000000009E0	1	2.57192547577674180E9
2.10000000000000009E0	2	5.14385095155348360E9
2.10000000000000009E0	3	7.71577642733022362E9
2.10000000000000009E0	4	1.02877019031069672E10
2.10000000000000009E0	5	1.28596273788837090E10
2.10000000000000009E0	6	1.54315528546604464E10
2.10000000000000009E0	7	1.80034783304371926E10
2.10000000000000009E0	8	2.05754038062139344E10
2.10000000000000009E0	9	2.31473292819906717E10
2.10000000000000009E0	10	2.57192547577674180E10

var_c	harmindex	freq[2, ::]
3.10000000000000009E0	0	0.00000000000000000E0
3.10000000000000009E0	1	2.53754547462594626E9
3.10000000000000009E0	2	5.07509094925189252E9
3.10000000000000009E0	3	7.61263642387783968E9
3.10000000000000009E0	4	1.01501818985037850E10
3.10000000000000009E0	5	1.26877273731297313E10
3.10000000000000009E0	6	1.52252728477556798E10
3.10000000000000009E0	7	1.77628183223816238E10
3.10000000000000009E0	8	2.03003637970075701E10
3.10000000000000009E0	9	2.28379092716335119E10
3.10000000000000009E0	10	2.53754547462594626E10

var_c	harmindex	freq[3, ::]
4.09999999999999964E0	0	0.00000000000000000E0
4.09999999999999964E0	1	2.51823827530540312E9
4.09999999999999964E0	2	5.03647655061080624E9
4.09999999999999964E0	3	7.55471482591620980E9
4.09999999999999964E0	4	1.00729531012216134E10
4.09999999999999964E0	5	1.25911913765270156E10
4.09999999999999964E0	6	1.51094296518324200E10
4.09999999999999964E0	7	1.76276679271378223E10
4.09999999999999964E0	8	2.01459062024432267E10
4.09999999999999964E0	9	2.26641444777486267E10
4.09999999999999964E0	10	2.51823827530540312E10

var_c	harmindex	freq[4, ::]
5.09999999999999964E0	0	0.00000000000000000E0
5.09999999999999964E0	1	2.50587563715394435E9
5.09999999999999964E0	2	5.01175127430788869E9
5.09999999999999964E0	3	7.51762691146183393E9
5.09999999999999964E0	4	1.00235025486157769E10
5.09999999999999964E0	5	1.25293781857697217E10
5.09999999999999964E0	6	1.50352538229236687E10
5.09999999999999964E0	7	1.75411294600776091E10
5.09999999999999964E0	8	2.00470050972315539E10
5.09999999999999964E0	9	2.25528807343855009E10
5.09999999999999964E0	10	2.50587563715394435E10

var_c	harmindex	freq[5, ::]
6.09999999999999964E0	0	0.00000000000000000E0
6.09999999999999964E0	1	2.49728245228230428E9
6.09999999999999964E0	2	4.99456490456460855E9
6.09999999999999964E0	3	7.49184735684691283E9
