	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.31000000000000005E1
23	2.41000000000000014E1
24	2.51000000000000023E1
25	2.61000000000000032E1
26	2.70999999999999996E1
27	2.81000000000000005E1
28	2.91000000000000014E1
29	3.01000000000000023E1
30	3.11000000000000032E1
31	3.20999999999999996E1
32	3.31000000000000005E1
33	3.41000000000000014E1
34	3.51000000000000023E1
35	3.61000000000000032E1
36	3.70999999999999996E1
37	3.81000000000000005E1
38	3.91000000000000014E1
39	4.00999999999999979E1
40	4.11000000000000032E1
41	4.20999999999999996E1
42	4.31000000000000050E1
43	4.41000000000000014E1
44	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
1.10000000000000009E0	0	0.00000000000000000E0
1.10000000000000009E0	1	2.56732538926578568E9
1.10000000000000009E0	2	5.13465077853157137E9
1.10000000000000009E0	3	7.70197616779735927E9
1.10000000000000009E0	4	1.02693015570631418E10
1.10000000000000009E0	5	1.28366269463289284E10
1.10000000000000009E0	6	1.54039523355947194E10
1.10000000000000009E0	7	1.79712777248605060E10
1.10000000000000009E0	8	2.05386031141262837E10
1.10000000000000009E0	9	2.31059285033920769E10
1.10000000000000009E0	10	2.56732538926578568E10

var_c	harmindex	freq[1, ::]
2.10000000000000009E0	0	0.00000000000000000E0
2.10000000000000009E0	1	2.51676326683229856E9
2.10000000000000009E0	2	5.03352653366459712E9
2.10000000000000009E0	3	7.55028980049689569E9
2.10000000000000009E0	4	1.00670530673291947E10
2.10000000000000009E0	5	1.25838163341614928E10
2.10000000000000009E0	6	1.51005796009937909E10
2.10000000000000009E0	7	1.76173428678260890E10
2.10000000000000009E0	8	2.01341061346583894E10
2.10000000000000009E0	9	2.26508694014906808E10
2.10000000000000009E0	10	2.51676326683229856E10

var_c	harmindex	freq[2, ::]
3.10000000000000009E0	0	0.00000000000000000E0
3.10000000000000009E0	1	2.49656507151230844E9
3.10000000000000009E0	2	4.99313014302461688E9
3.10000000000000009E0	3	7.48969521453692533E9
3.10000000000000009E0	4	9.98626028604923377E9
3.10000000000000009E0	5	1.24828253575615422E10
3.10000000000000009E0	6	1.49793904290738511E10
3.10000000000000009E0	7	1.74759555005861711E10
3.10000000000000009E0	8	1.99725205720984667E10
3.10000000000000009E0	9	2.24690856436107822E10
3.10000000000000009E0	10	2.49656507151230844E10

var_c	harmindex	freq[3, ::]
4.09999999999999964E0	0	0.00000000000000000E0
4.09999999999999964E0	1	2.48569779194398155E9
4.09999999999999964E0	2	4.97139558388796310E9
4.09999999999999964E0	3	7.45709337583194376E9
4.09999999999999964E0	4	9.94279116777592620E9
4.09999999999999964E0	5	1.24284889597199077E10
4.09999999999999964E0	6	1.49141867516638871E10
4.09999999999999964E0	7	1.73998845436078642E10
4.09999999999999964E0	8	1.98855823355518524E10
4.09999999999999964E0	9	2.23712801274958384E10
4.09999999999999964E0	10	2.48569779194398155E10

var_c	harmindex	freq[4, ::]
5.09999999999999964E0	0	0.00000000000000000E0
5.09999999999999964E0	1	2.47890926494023001E9
