	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.31000000000000005E1
23	2.41000000000000014E1
24	2.51000000000000023E1
25	2.61000000000000032E1
26	2.70999999999999996E1
27	2.81000000000000005E1
28	2.91000000000000014E1
29	3.01000000000000023E1
30	3.11000000000000032E1
31	3.20999999999999996E1
32	3.31000000000000005E1
33	3.41000000000000014E1
34	3.51000000000000023E1
35	3.61000000000000032E1
36	3.70999999999999996E1
37	3.81000000000000005E1
38	3.91000000000000014E1
39	4.00999999999999979E1
40	4.11000000000000032E1
41	4.20999999999999996E1
42	4.31000000000000050E1
43	4.41000000000000014E1
44	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
1.10000000000000009E0	0	0.00000000000000000E0
1.10000000000000009E0	1	2.65031026598366770E9
1.10000000000000009E0	2	5.30062053196733540E9
1.10000000000000009E0	3	7.95093079795100266E9
1.10000000000000009E0	4	1.06012410639346699E10
1.10000000000000009E0	5	1.32515513299183385E10
1.10000000000000009E0	6	1.59018615959020049E10
1.10000000000000009E0	7	1.85521718618856757E10
1.10000000000000009E0	8	2.12024821278693398E10
1.10000000000000009E0	9	2.38527923938530106E10
1.10000000000000009E0	10	2.65031026598366770E10

var_c	harmindex	freq[1, ::]
2.10000000000000009E0	0	0.00000000000000000E0
2.10000000000000009E0	1	2.57192547577674091E9
2.10000000000000009E0	2	5.14385095155348182E9
2.10000000000000009E0	3	7.71577642733022362E9
2.10000000000000009E0	4	1.02877019031069628E10
2.10000000000000009E0	5	1.28596273788837046E10
2.10000000000000009E0	6	1.54315528546604464E10
2.10000000000000009E0	7	1.80034783304371926E10
2.10000000000000009E0	8	2.05754038062139255E10
2.10000000000000009E0	9	2.31473292819906717E10
2.10000000000000009E0	10	2.57192547577674091E10

var_c	harmindex	freq[2, ::]
3.10000000000000009E0	0	0.00000000000000000E0
3.10000000000000009E0	1	2.53754547462593871E9
3.10000000000000009E0	2	5.07509094925187743E9
3.10000000000000009E0	3	7.61263642387781658E9
3.10000000000000009E0	4	1.01501818985037540E10
3.10000000000000009E0	5	1.26877273731296936E10
3.10000000000000009E0	6	1.52252728477556332E10
3.10000000000000009E0	7	1.77628183223815705E10
3.10000000000000009E0	8	2.03003637970075079E10
3.10000000000000009E0	9	2.28379092716334409E10
3.10000000000000009E0	10	2.53754547462593871E10

var_c	harmindex	freq[3, ::]
4.09999999999999964E0	0	0.00000000000000000E0
4.09999999999999964E0	1	2.51823827530546041E9
4.09999999999999964E0	2	5.03647655061092081E9
4.09999999999999964E0	3	7.55471482591638033E9
4.09999999999999964E0	4	1.00729531012218421E10
4.09999999999999964E0	5	1.25911913765273065E10
4.09999999999999964E0	6	1.51094296518327598E10
4.09999999999999964E0	7	1.76276679271382264E10
4.09999999999999964E0	8	2.01459062024436841E10
4.09999999999999964E0	9	2.26641444777491463E10
4.09999999999999964E0	10	2.51823827530546129E10

var_c	harmindex	freq[4, ::]
5.09999999999999964E0	0	0.00000000000000000E0
5.09999999999999964E0	1	2.50587563715395101E9
5.09999999999999964E0	2	5.01175127430790202E9
5.09999999999999964E0	3	7.51762691146185347E9
