	HB.var_c
0	1.10000000000000009E0
1	1.20000000000000018E0
2	1.30000000000000027E0
3	1.40000000000000036E0
4	1.50000000000000044E0
5	1.60000000000000053E0
6	1.70000000000000062E0
7	1.80000000000000071E0
8	1.90000000000000080E0
9	2.00000000000000089E0
10	2.10000000000000098E0
11	2.20000000000000107E0
12	2.30000000000000115E0
13	2.40000000000000124E0
14	2.50000000000000133E0
15	2.60000000000000142E0
16	2.70000000000000151E0
17	2.80000000000000160E0
18	2.90000000000000169E0
19	3.00000000000000178E0
20	3.10000000000000187E0
21	3.20000000000000195E0
22	3.30000000000000204E0
23	3.40000000000000213E0
24	3.50000000000000222E0
25	3.60000000000000231E0
26	3.70000000000000240E0
27	3.80000000000000249E0
28	3.90000000000000258E0
29	4.00000000000000266E0
30	4.10000000000000231E0
31	4.20000000000000195E0
32	4.30000000000000160E0
33	4.40000000000000124E0
34	4.50000000000000089E0
35	4.60000000000000053E0
36	4.70000000000000018E0
37	4.79999999999999982E0
38	4.89999999999999947E0
39	4.99999999999999911E0
40	5.09999999999999876E0
41	5.19999999999999840E0
42	5.29999999999999805E0
43	5.39999999999999769E0
44	5.50000000000000000E0


var_c	harmindex	freq[0, ::]
1.10000000000000009E0	0	0.00000000000000000E0
1.10000000000000009E0	1	2.56732538926578568E9
1.10000000000000009E0	2	5.13465077853157137E9
1.10000000000000009E0	3	7.70197616779735927E9
1.10000000000000009E0	4	1.02693015570631418E10
1.10000000000000009E0	5	1.28366269463289284E10
1.10000000000000009E0	6	1.54039523355947194E10
1.10000000000000009E0	7	1.79712777248605060E10
1.10000000000000009E0	8	2.05386031141262837E10
1.10000000000000009E0	9	2.31059285033920769E10
1.10000000000000009E0	10	2.56732538926578568E10

var_c	harmindex	freq[1, ::]
1.20000000000000018E0	0	0.00000000000000000E0
1.20000000000000018E0	1	2.55908930085817632E9
1.20000000000000018E0	2	5.11817860171635264E9
1.20000000000000018E0	3	7.67726790257452940E9
1.20000000000000018E0	4	1.02363572034327044E10
1.20000000000000018E0	5	1.27954465042908816E10
1.20000000000000018E0	6	1.53545358051490588E10
1.20000000000000018E0	7	1.79136251060072382E10
1.20000000000000018E0	8	2.04727144068654088E10
1.20000000000000018E0	9	2.30318037077235882E10
1.20000000000000018E0	10	2.55908930085817632E10

var_c	harmindex	freq[2, ::]
1.30000000000000027E0	0	0.00000000000000000E0
1.30000000000000027E0	1	2.55192887671481738E9
1.30000000000000027E0	2	5.10385775342963477E9
1.30000000000000027E0	3	7.65578663014445215E9
1.30000000000000027E0	4	1.02077155068592695E10
1.30000000000000027E0	5	1.27596443835740869E10
1.30000000000000027E0	6	1.53115732602889043E10
1.30000000000000027E0	7	1.78635021370037217E10
1.30000000000000027E0	8	2.04154310137185391E10
1.30000000000000027E0	9	2.29673598904333565E10
1.30000000000000027E0	10	2.55192887671481738E10

var_c	harmindex	freq[3, ::]
1.40000000000000036E0	0	0.00000000000000000E0
1.40000000000000036E0	1	2.54564639283568495E9
1.40000000000000036E0	2	5.09129278567136989E9
1.40000000000000036E0	3	7.63693917850705439E9
1.40000000000000036E0	4	1.01825855713427393E10
1.40000000000000036E0	5	1.27282319641784247E10
1.40000000000000036E0	6	1.52738783570141079E10
1.40000000000000036E0	7	1.78195247498497977E10
1.40000000000000036E0	8	2.03651711426854787E10
1.40000000000000036E0	9	2.29108175355211641E10
1.40000000000000036E0	10	2.54564639283568495E10

var_c	harmindex	freq[4, ::]
1.50000000000000044E0	0	0.00000000000000000E0
1.50000000000000044E0	1	2.54008977072411612E9
