	HB.var_c
0	2.20000000000000018E0
1	2.30000000000000027E0
2	2.40000000000000036E0
3	2.50000000000000044E0
4	2.60000000000000053E0
5	2.70000000000000062E0
6	2.80000000000000071E0
7	2.90000000000000080E0
8	3.00000000000000089E0
9	3.10000000000000098E0
10	3.20000000000000107E0
11	3.30000000000000115E0
12	3.40000000000000124E0
13	3.50000000000000133E0
14	3.60000000000000142E0
15	3.70000000000000151E0
16	3.80000000000000160E0
17	3.90000000000000169E0
18	4.00000000000000178E0
19	4.10000000000000142E0
20	4.20000000000000107E0
21	4.30000000000000071E0
22	4.40000000000000036E0
23	4.50000000000000000E0
24	4.59999999999999964E0
25	4.69999999999999929E0
26	4.79999999999999893E0
27	4.89999999999999858E0
28	4.99999999999999822E0
29	5.09999999999999787E0
30	5.19999999999999751E0
31	5.29999999999999716E0
32	5.39999999999999680E0
33	5.50000000000000000E0


var_c	harmindex	freq[0, ::]
2.20000000000000018E0	0	0.00000000000000000E0
2.20000000000000018E0	1	2.51671627163056710E9
2.20000000000000018E0	2	5.03343254326113421E9
2.20000000000000018E0	3	7.55014881489170087E9
2.20000000000000018E0	4	1.00668650865222675E10
2.20000000000000018E0	5	1.25835813581528355E10
2.20000000000000018E0	6	1.51002976297834013E10
2.20000000000000018E0	7	1.76170139014139693E10
2.20000000000000018E0	8	2.01337301730445351E10
2.20000000000000018E0	9	2.26504464446751097E10
2.20000000000000018E0	10	2.51671627163056710E10

var_c	harmindex	freq[1, ::]
2.30000000000000027E0	0	0.00000000000000000E0
2.30000000000000027E0	1	2.51415837844143342E9
2.30000000000000027E0	2	5.02831675688286683E9
2.30000000000000027E0	3	7.54247513532429981E9
2.30000000000000027E0	4	1.00566335137657337E10
2.30000000000000027E0	5	1.25707918922071671E10
2.30000000000000027E0	6	1.50849502706486005E10
2.30000000000000027E0	7	1.75991086490900317E10
2.30000000000000027E0	8	2.01132670275314673E10
2.30000000000000027E0	9	2.26274254059728896E10
2.30000000000000027E0	10	2.51415837844143342E10

var_c	harmindex	freq[2, ::]
2.40000000000000036E0	0	0.00000000000000000E0
2.40000000000000036E0	1	2.51179513408933186E9
2.40000000000000036E0	2	5.02359026817866372E9
2.40000000000000036E0	3	7.53538540226799647E9
2.40000000000000036E0	4	1.00471805363573274E10
2.40000000000000036E0	5	1.25589756704466593E10
2.40000000000000036E0	6	1.50707708045359934E10
2.40000000000000036E0	7	1.75825659386253252E10
2.40000000000000036E0	8	2.00943610727146549E10
2.40000000000000036E0	9	2.26061562068039823E10
2.40000000000000036E0	10	2.51179513408933186E10

var_c	harmindex	freq[3, ::]
2.50000000000000044E0	0	0.00000000000000000E0
2.50000000000000044E0	1	2.50960513470421009E9
2.50000000000000044E0	2	5.01921026940842019E9
2.50000000000000044E0	3	7.52881540411262762E9
2.50000000000000044E0	4	1.00384205388168413E10
2.50000000000000044E0	5	1.25480256735210483E10
2.50000000000000044E0	6	1.50576308082252552E10
2.50000000000000044E0	7	1.75672359429294644E10
2.50000000000000044E0	8	2.00768410776336825E10
2.50000000000000044E0	9	2.25864462123378829E10
2.50000000000000044E0	10	2.50960513470420965E10

var_c	harmindex	freq[4, ::]
2.60000000000000053E0	0	0.00000000000000000E0
2.60000000000000053E0	1	2.50757000850262868E9
2.60000000000000053E0	2	5.01514001700525736E9
2.60000000000000053E0	3	7.52271002550788648E9
2.60000000000000053E0	4	1.00302800340105147E10
2.60000000000000053E0	5	1.25378500425131434E10
2.60000000000000053E0	6	1.50454200510157721E10
2.60000000000000053E0	7	1.75529900595184030E10
2.60000000000000053E0	8	2.00605600680210294E10
2.60000000000000053E0	9	2.25681300765236603E10
2.60000000000000053E0	10	2.50757000850262868E10

var_c	harmindex	freq[5, ::]
2.70000000000000062E0	0	0.00000000000000000E0
2.70000000000000062E0	1	2.50567389208522551E9
2.70000000000000062E0	2	5.01134778417045101E9
2.70000000000000062E0	3	7.51702167625567608E9
2.70000000000000062E0	4	1.00226955683409025E10
2.70000000000000062E0	5	1.25283694604261275E10
2.70000000000000062E0	6	1.50340433525113526E10
2.70000000000000062E0	7	1.75397172445965777E10
2.70000000000000062E0	8	2.00453911366818049E10
2.70000000000000062E0	9	2.25510650287670211E10
2.70000000000000062E0	10	2.50567389208522551E10

var_c	harmindex	freq[6, ::]
2.80000000000000071E0	0	0.00000000000000000E0
2.80000000000000071E0	1	2.50390301654600433E9
2.80000000000000071E0	2	5.00780603309200867E9
2.80000000000000071E0	3	7.51170904963801433E9
2.80000000000000071E0	4	1.00156120661840164E10
2.80000000000000071E0	5	1.25195150827300217E10
2.80000000000000071E0	6	1.50234180992760291E10
2.80000000000000071E0	7	1.75273211158220255E10
2.80000000000000071E0	8	2.00312241323680329E10
2.80000000000000071E0	9	2.25351271489140448E10
2.80000000000000071E0	10	2.50390301654600433E10

var_c	harmindex	freq[7, ::]
2.90000000000000080E0	0	0.00000000000000000E0
2.90000000000000080E0	1	2.50224537291201310E9
2.90000000000000080E0	2	5.00449074582402620E9
2.90000000000000080E0	3	7.50673611873603797E9
2.90000000000000080E0	4	1.00089814916480524E10
2.90000000000000080E0	5	1.25112268645600655E10
2.90000000000000080E0	6	1.50134722374720764E10
2.90000000000000080E0	7	1.75157176103840873E10
2.90000000000000080E0	8	2.00179629832961048E10
2.90000000000000080E0	9	2.25202083562081201E10
2.90000000000000080E0	10	2.50224537291201310E10

var_c	harmindex	freq[8, ::]
3.00000000000000089E0	0	0.00000000000000000E0
3.00000000000000089E0	1	2.50069043970419980E9
3.00000000000000089E0	2	5.00138087940839959E9
3.00000000000000089E0	3	7.50207131911259761E9
3.00000000000000089E0	4	1.00027617588167983E10
3.00000000000000089E0	5	1.25034521985209990E10
3.00000000000000089E0	6	1.50041426382251952E10
3.00000000000000089E0	7	1.75048330779293981E10
3.00000000000000089E0	8	2.00055235176335966E10
3.00000000000000089E0	9	2.25062139573377973E10
3.00000000000000089E0	10	2.50069043970419980E10

var_c	harmindex	freq[9, ::]
3.10000000000000098E0	0	0.00000000000000000E0
3.10000000000000098E0	1	2.49922895958268665E9
3.10000000000000098E0	2	4.99845791916537330E9
3.10000000000000098E0	3	7.49768687874805817E9
3.10000000000000098E0	4	9.99691583833074660E9
