var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[0, ::]
2.20000000000000018E0	2.29999999999999982E9	-1.42661295472584815E2
2.20000000000000018E0	2.31000000000000005E9	-1.42411571804579706E2
2.20000000000000018E0	2.31999999999999984E9	-1.42150375969490539E2
2.20000000000000018E0	2.33000000000000007E9	-1.41876357582225654E2
2.20000000000000018E0	2.33999999999999986E9	-1.41587970002888097E2
2.20000000000000018E0	2.35000000000000009E9	-1.41283447539289231E2
2.20000000000000018E0	2.36000000000000032E9	-1.40960782808302088E2
2.20000000000000018E0	2.37000000000000011E9	-1.40617705487253097E2
2.20000000000000018E0	2.37999999999999989E9	-1.40251663599126353E2
2.20000000000000018E0	2.38999999999999968E9	-1.39859807467771113E2
2.20000000000000018E0	2.39999999999999991E9	-1.39438973549498035E2
2.20000000000000018E0	2.41000000000000014E9	-1.38985655618741499E2
2.20000000000000018E0	2.41999999999999993E9	-1.38495926785489121E2
2.20000000000000018E0	2.43000000000000016E9	-1.37965215561060051E2
2.20000000000000018E0	2.43999999999999995E9	-1.37387687915309487E2
2.20000000000000018E0	2.45000000000000018E9	-1.36754609539085692E2
2.20000000000000018E0	2.45999999999999996E9	-1.36050086567521156E2
2.20000000000000018E0	2.46999999999999975E9	-1.35239975016987080E2
2.20000000000000018E0	2.47999999999999998E9	-1.34242423630565311E2
2.20000000000000018E0	2.48999999999999977E9	-1.32847136659714415E2
2.20000000000000018E0	2.50000000000000000E9	-1.30492923209212219E2
2.20000000000000018E0	2.51000000000000023E9	-1.25892802466355369E2
2.20000000000000018E0	2.52000000000000002E9	-1.23650380521268666E2
2.20000000000000018E0	2.53000000000000025E9	-1.29298880758910006E2
2.20000000000000018E0	2.54000000000000004E9	-1.32296110530063626E2
2.20000000000000018E0	2.54999999999999982E9	-1.33946119989837653E2
2.20000000000000018E0	2.56000000000000005E9	-1.35053186107291534E2
2.20000000000000018E0	2.56999999999999984E9	-1.35919049770531908E2
2.20000000000000018E0	2.58000000000000007E9	-1.36658480163503127E2
2.20000000000000018E0	2.58999999999999986E9	-1.37317709544701305E2
2.20000000000000018E0	2.60000000000000009E9	-1.37917141054089387E2
2.20000000000000018E0	2.61000000000000032E9	-1.38467201574267929E2
2.20000000000000018E0	2.62000000000000011E9	-1.38974372843878347E2
2.20000000000000018E0	2.62999999999999989E9	-1.39443500761392958E2
2.20000000000000018E0	2.63999999999999968E9	-1.39878666642398830E2
2.20000000000000018E0	2.64999999999999991E9	-1.40283501943980915E2
2.20000000000000018E0	2.66000000000000014E9	-1.40661294462593811E2
2.20000000000000018E0	2.66999999999999993E9	-1.41015022081283226E2
2.20000000000000018E0	2.68000000000000016E9	-1.41347366793033347E2
2.20000000000000018E0	2.68999999999999995E9	-1.41660726655579250E2
2.20000000000000018E0	2.70000000000000018E9	-1.41957231065708767E2

var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[1, ::]
2.30000000000000027E0	2.29999999999999982E9	-1.42741637316027825E2
2.30000000000000027E0	2.31000000000000005E9	-1.42492994572247200E2
2.30000000000000027E0	2.31999999999999984E9	-1.42232526752020227E2
2.30000000000000027E0	2.33000000000000007E9	-1.41958766032942774E2
2.30000000000000027E0	2.33999999999999986E9	-1.41670019327896779E2
2.30000000000000027E0	2.35000000000000009E9	-1.41364338986463589E2
2.30000000000000027E0	2.36000000000000032E9	-1.41039492338830574E2
2.30000000000000027E0	2.37000000000000011E9	-1.40692931028006485E2
2.30000000000000027E0	2.37999999999999989E9	-1.40321761185758520E2
2.30000000000000027E0	2.38999999999999968E9	-1.39922714064650267E2
2.30000000000000027E0	2.39999999999999991E9	-1.39492113372977711E2
2.30000000000000027E0	2.41000000000000014E9	-1.39025824598347336E2
2.30000000000000027E0	2.41999999999999993E9	-1.38519143188051141E2
2.30000000000000027E0	2.43000000000000016E9	-1.37966506211277773E2
2.30000000000000027E0	2.43999999999999995E9	-1.37360728934731791E2
2.30000000000000027E0	2.45000000000000018E9	-1.36690996699847145E2
2.30000000000000027E0	2.45999999999999996E9	-1.35937605156924035E2
2.30000000000000027E0	2.46999999999999975E9	-1.35058080573080619E2
2.30000000000000027E0	2.47999999999999998E9	-1.33949803505612808E2
2.30000000000000027E0	2.48999999999999977E9	-1.32347092797186772E2
2.30000000000000027E0	2.50000000000000000E9	-1.29549775944419654E2
2.30000000000000027E0	2.51000000000000023E9	-1.24388197732435124E2
2.30000000000000027E0	2.52000000000000002E9	-1.25314926351198386E2
2.30000000000000027E0	2.53000000000000025E9	-1.30227585243292543E2
2.30000000000000027E0	2.54000000000000004E9	-1.32784084225639099E2
2.30000000000000027E0	2.54999999999999982E9	-1.34287497827659430E2
2.30000000000000027E0	2.56000000000000005E9	-1.35352855088069512E2
2.30000000000000027E0	2.56999999999999984E9	-1.36211683515849269E2
2.30000000000000027E0	2.58000000000000007E9	-1.36953678054745898E2
2.30000000000000027E0	2.58999999999999986E9	-1.37616237351692483E2
2.30000000000000027E0	2.60000000000000009E9	-1.38216975082338012E2
2.30000000000000027E0	2.61000000000000032E9	-1.38765796675606667E2
2.30000000000000027E0	2.62000000000000011E9	-1.39269464307901214E2
2.30000000000000027E0	2.62999999999999989E9	-1.39733328162041293E2
2.30000000000000027E0	2.63999999999999968E9	-1.40161975986766363E2
2.30000000000000027E0	2.64999999999999991E9	-1.40559472545112629E2
2.30000000000000027E0	2.66000000000000014E9	-1.40929449576646504E2
2.30000000000000027E0	2.66999999999999993E9	-1.41275146082837222E2
2.30000000000000027E0	2.68000000000000016E9	-1.41599435524339734E2
2.30000000000000027E0	2.68999999999999995E9	-1.41904852094086542E2
2.30000000000000027E0	2.70000000000000018E9	-1.42193618653847920E2

var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[2, ::]
2.40000000000000036E0	2.29999999999999982E9	-1.42809844808277653E2
2.40000000000000036E0	2.31000000000000005E9	-1.42562310146240878E2
2.40000000000000036E0	2.31999999999999984E9	-1.42302622794749678E2
2.40000000000000036E0	2.33000000000000007E9	-1.42029200810179690E2
2.40000000000000036E0	2.33999999999999986E9	-1.41740207646207383E2
2.40000000000000036E0	2.35000000000000009E9	-1.41433515913734942E2
2.40000000000000036E0	2.36000000000000032E9	-1.41106668347854480E2
2.40000000000000036E0	2.37000000000000011E9	-1.40756837015223701E2
2.40000000000000036E0	2.37999999999999989E9	-1.40380780802324323E2
2.40000000000000036E0	2.38999999999999968E9	-1.39974800971791602E2
2.40000000000000036E0	2.39999999999999991E9	-1.39534689545454604E2
2.40000000000000036E0	2.41000000000000014E9	-1.39055653251710298E2
2.40000000000000036E0	2.41999999999999993E9	-1.38532162860067531E2
2.40000000000000036E0	2.43000000000000016E9	-1.37957592834694398E2
2.40000000000000036E0	2.43999999999999995E9	-1.37323296347152901E2
2.40000000000000036E0	2.45000000000000018E9	-1.36616185175479155E2
2.40000000000000036E0	2.45999999999999996E9	-1.35812342210231618E2
2.40000000000000036E0	2.46999999999999975E9	-1.34859945873576370E2
2.40000000000000036E0	2.47999999999999998E9	-1.33632737365959375E2
2.40000000000000036E0	2.48999999999999977E9	-1.31802064921630846E2
2.40000000000000036E0	2.50000000000000000E9	-1.28526920051381088E2
2.40000000000000036E0	2.51000000000000023E9	-1.23045518484481420E2
2.40000000000000036E0	2.52000000000000002E9	-1.26721480018237220E2
2.40000000000000036E0	2.53000000000000025E9	-1.30945556646554206E2
2.40000000000000036E0	2.54000000000000004E9	-1.33192615234140610E2
2.40000000000000036E0	2.54999999999999982E9	-1.34595404294202625E2
2.40000000000000036E0	2.56000000000000005E9	-1.35633382934499025E2
2.40000000000000036E0	2.56999999999999984E9	-1.36488207858089972E2
2.40000000000000036E0	2.58000000000000007E9	-1.37231808345014938E2
2.40000000000000036E0	2.58999999999999986E9	-1.37895535952560633E2
2.40000000000000036E0	2.60000000000000009E9	-1.38495306597175594E2
2.40000000000000036E0	2.61000000000000032E9	-1.39040910525395711E2
2.40000000000000036E0	2.62000000000000011E9	-1.39539508577378002E2
2.40000000000000036E0	2.62999999999999989E9	-1.39996953710526206E2
2.40000000000000036E0	2.63999999999999968E9	-1.40418292932422251E2
2.40000000000000036E0	2.64999999999999991E9	-1.40807964177197631E2
2.40000000000000036E0	2.66000000000000014E9	-1.41169884160927994E2
2.40000000000000036E0	2.66999999999999993E9	-1.41507500495406191E2
2.40000000000000036E0	2.68000000000000016E9	-1.41823833778804298E2
2.40000000000000036E0	2.68999999999999995E9	-1.42121517952662901E2
2.40000000000000036E0	2.70000000000000018E9	-1.42402840008009313E2

var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[3, ::]
2.50000000000000044E0	2.29999999999999982E9	-1.42868212444875442E2
2.50000000000000044E0	2.31000000000000005E9	-1.42621800667471588E2
2.50000000000000044E0	2.31999999999999984E9	-1.42362932186338464E2
2.50000000000000044E0	2.33000000000000007E9	-1.42089914428560848E2
2.50000000000000044E0	2.33999999999999986E9	-1.41800770741998106E2
2.50000000000000044E0	2.35000000000000009E9	-1.41493196727058046E2
2.50000000000000044E0	2.36000000000000032E9	-1.41164512206756854E2
2.50000000000000044E0	2.37000000000000011E9	-1.40811609099239998E2
2.50000000000000044E0	2.37999999999999989E9	-1.40430895270796618E2
2.50000000000000044E0	2.38999999999999968E9	-1.40018233109897161E2
2.50000000000000044E0	2.39999999999999991E9	-1.39568866402395253E2
2.50000000000000044E0	2.41000000000000014E9	-1.39077315323095929E2
2.50000000000000044E0	2.41999999999999993E9	-1.38537182242232992E2
2.50000000000000044E0	2.43000000000000016E9	-1.37940711313962683E2
2.50000000000000044E0	2.43999999999999995E9	-1.37277686110562014E2
2.50000000000000044E0	2.45000000000000018E9	-1.36532556684201301E2
2.50000000000000044E0	2.45999999999999996E9	-1.35676795807322992E2
2.50000000000000044E0	2.46999999999999975E9	-1.34648210350013109E2
2.50000000000000044E0	2.47999999999999998E9	-1.33294000077092245E2
2.50000000000000044E0	2.48999999999999977E9	-1.31215558635904950E2
2.50000000000000044E0	2.50000000000000000E9	-1.27449803929310468E2
2.50000000000000044E0	2.51000000000000023E9	-1.16907620894536768E2
2.50000000000000044E0	2.52000000000000002E9	-1.27857015369576565E2
2.50000000000000044E0	2.53000000000000025E9	-1.31520371602681929E2
2.50000000000000044E0	2.54000000000000004E9	-1.33546138510469969E2
2.50000000000000044E0	2.54999999999999982E9	-1.34878580091562372E2
2.50000000000000044E0	2.56000000000000005E9	-1.35898110797202465E2
2.50000000000000044E0	2.56999999999999984E9	-1.36750204638098039E2
2.50000000000000044E0	2.58000000000000007E9	-1.37494083913474241E2
2.50000000000000044E0	2.58999999999999986E9	-1.38156996538084975E2
2.50000000000000044E0	2.60000000000000009E9	-1.38753902288797692E2
2.50000000000000044E0	2.61000000000000032E9	-1.39294728693489733E2
2.50000000000000044E0	2.62000000000000011E9	-1.39787086797007420E2
2.50000000000000044E0	2.62999999999999989E9	-1.40237304306602262E2
