	HB.var_c
0	2.20000000000000018E0
1	2.30000000000000027E0
2	2.40000000000000036E0
3	2.50000000000000044E0
4	2.60000000000000053E0
5	2.70000000000000062E0
6	2.80000000000000071E0
7	2.90000000000000080E0
8	3.00000000000000089E0
9	3.10000000000000098E0
10	3.20000000000000107E0
11	3.30000000000000115E0
12	3.40000000000000124E0
13	3.50000000000000133E0
14	3.60000000000000142E0
15	3.70000000000000151E0
16	3.80000000000000160E0
17	3.90000000000000169E0
18	4.00000000000000178E0
19	4.10000000000000142E0
20	4.20000000000000107E0
21	4.30000000000000071E0
22	4.40000000000000036E0
23	4.50000000000000000E0
24	4.59999999999999964E0
25	4.69999999999999929E0
26	4.79999999999999893E0
27	4.89999999999999858E0
28	4.99999999999999822E0
29	5.09999999999999787E0
30	5.19999999999999751E0
31	5.29999999999999716E0
32	5.39999999999999680E0
33	5.49999999999999645E0
34	5.59999999999999609E0
35	5.69999999999999574E0
36	5.79999999999999538E0
37	5.89999999999999503E0
38	5.99999999999999467E0
39	6.09999999999999432E0
40	6.19999999999999396E0
41	6.29999999999999361E0
42	6.39999999999999325E0
43	6.49999999999999289E0
44	6.59999999999999254E0
45	6.69999999999999218E0
46	6.79999999999999183E0
47	6.89999999999999147E0
48	6.99999999999999112E0
49	7.09999999999999076E0
50	7.19999999999999041E0
51	7.29999999999999005E0
52	7.39999999999998970E0
53	7.49999999999998934E0
54	7.59999999999998899E0
55	7.69999999999998863E0
56	7.79999999999998828E0
57	7.89999999999998792E0
58	7.99999999999998757E0
59	8.09999999999998721E0
60	8.19999999999998685E0
61	8.29999999999998650E0
62	8.39999999999998614E0
63	8.49999999999998579E0
64	8.59999999999998543E0
65	8.69999999999998508E0
66	8.79999999999998472E0
67	8.89999999999998437E0
68	8.99999999999998401E0
69	9.09999999999998366E0
70	9.19999999999998330E0
71	9.29999999999998295E0
72	9.39999999999998259E0
73	9.49999999999998224E0
74	9.59999999999998188E0
75	9.69999999999998153E0
76	9.79999999999998117E0
77	9.89999999999998082E0
78	9.99999999999998046E0
79	1.00999999999999801E1
80	1.01999999999999802E1
81	1.02999999999999803E1
82	1.03999999999999782E1
83	1.04999999999999782E1
84	1.05999999999999783E1
85	1.06999999999999784E1
86	1.07999999999999785E1
87	1.08999999999999764E1
88	1.09999999999999765E1
89	1.10999999999999766E1
90	1.11999999999999766E1
91	1.12999999999999767E1
92	1.13999999999999746E1
93	1.14999999999999747E1
94	1.15999999999999748E1
95	1.16999999999999749E1
96	1.17999999999999750E1
97	1.18999999999999728E1
98	1.19999999999999729E1
99	1.20999999999999730E1
100	1.21999999999999731E1
101	1.22999999999999732E1
102	1.23999999999999710E1
103	1.24999999999999711E1
104	1.25999999999999712E1
105	1.26999999999999713E1
106	1.27999999999999714E1
107	1.28999999999999693E1
108	1.29999999999999694E1
109	1.30999999999999694E1
