	HB.var_c
0	2.20000000000000018E0
1	3.30000000000000027E0
2	4.40000000000000036E0
3	5.50000000000000000E0
4	6.59999999999999964E0
5	7.69999999999999929E0
6	8.79999999999999893E0
7	9.89999999999999858E0
8	1.09999999999999987E1
9	1.20999999999999974E1
10	1.31999999999999984E1
11	1.42999999999999972E1
12	1.53999999999999959E1
13	1.64999999999999969E1
14	1.75999999999999979E1
15	1.86999999999999988E1
16	1.97999999999999998E1
17	2.09000000000000030E1
18	2.20000000000000018E1
19	2.31000000000000050E1
20	2.42000000000000082E1
21	2.53000000000000069E1
22	2.64000000000000101E1
23	2.75000000000000089E1
24	2.86000000000000121E1
25	2.97000000000000153E1
26	3.08000000000000140E1
27	3.19000000000000172E1
28	3.30000000000000160E1
29	3.41000000000000147E1
30	3.52000000000000179E1
31	3.63000000000000167E1
32	3.74000000000000199E1
33	3.85000000000000231E1
34	3.96000000000000218E1
35	4.07000000000000206E1
36	4.18000000000000238E1
37	4.29000000000000270E1
38	4.40000000000000302E1
39	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
2.20000000000000018E0	0	0.00000000000000000E0
2.20000000000000018E0	1	2.51671627163056710E9
2.20000000000000018E0	2	5.03343254326113421E9
2.20000000000000018E0	3	7.55014881489170087E9
2.20000000000000018E0	4	1.00668650865222675E10
2.20000000000000018E0	5	1.25835813581528355E10
2.20000000000000018E0	6	1.51002976297834013E10
2.20000000000000018E0	7	1.76170139014139693E10
2.20000000000000018E0	8	2.01337301730445351E10
2.20000000000000018E0	9	2.26504464446751097E10
2.20000000000000018E0	10	2.51671627163056710E10

var_c	harmindex	freq[1, ::]
3.30000000000000027E0	0	0.00000000000000000E0
3.30000000000000027E0	1	2.49655457462367192E9
3.30000000000000027E0	2	4.99310914924734384E9
3.30000000000000027E0	3	7.48966372387101664E9
3.30000000000000027E0	4	9.98621829849468767E9
3.30000000000000027E0	5	1.24827728731183596E10
3.30000000000000027E0	6	1.49793274477420324E10
3.30000000000000027E0	7	1.74758820223657096E10
3.30000000000000027E0	8	1.99724365969893758E10
3.30000000000000027E0	9	2.24689911716130464E10
3.30000000000000027E0	10	2.49655457462367192E10

var_c	harmindex	freq[2, ::]
4.40000000000000036E0	0	0.00000000000000000E0
4.40000000000000036E0	1	2.48597774940009053E9
4.40000000000000036E0	2	4.97195549880018106E9
4.40000000000000036E0	3	7.45793324820026982E9
4.40000000000000036E0	4	9.94391099760036212E9
4.40000000000000036E0	5	1.24298887470004527E10
4.40000000000000036E0	6	1.49158664964005405E10
4.40000000000000036E0	7	1.74018442458006395E10
4.40000000000000036E0	8	1.98878219952007251E10
4.40000000000000036E0	9	2.23737997446008086E10
4.40000000000000036E0	10	2.48597774940009053E10

var_c	harmindex	freq[3, ::]
5.50000000000000000E0	0	0.00000000000000000E0
5.50000000000000000E0	1	2.47946393321916192E9
5.50000000000000000E0	2	4.95892786643832384E9
5.50000000000000000E0	3	7.43839179965748531E9
5.50000000000000000E0	4	9.91785573287664768E9
5.50000000000000000E0	5	1.23973196660958052E10
5.50000000000000000E0	6	1.48767835993149711E10
5.50000000000000000E0	7	1.73562475325341303E10
5.50000000000000000E0	8	1.98357114657532962E10
5.50000000000000000E0	9	2.23151753989724488E10
5.50000000000000000E0	10	2.47946393321916103E10

var_c	harmindex	freq[4, ::]
6.59999999999999964E0	0	0.00000000000000000E0
6.59999999999999964E0	1	2.47504927418560472E9
6.59999999999999964E0	2	4.95009854837120944E9
6.59999999999999964E0	3	7.42514782255681460E9
6.59999999999999964E0	4	9.90019709674241888E9
6.59999999999999964E0	5	1.23752463709280236E10
6.59999999999999964E0	6	1.48502956451136292E10
6.59999999999999964E0	7	1.73253449192992326E10
6.59999999999999964E0	8	1.98003941934848382E10
6.59999999999999964E0	9	2.22754434676704482E10
6.59999999999999964E0	10	2.47504927418560472E10

var_c	harmindex	freq[5, ::]
7.69999999999999929E0	0	0.00000000000000000E0
7.69999999999999929E0	1	2.47185989117406191E9
7.69999999999999929E0	2	4.94371978234812381E9
7.69999999999999929E0	3	7.41557967352218572E9
7.69999999999999929E0	4	9.88743956469624763E9
7.69999999999999929E0	5	1.23592994558703095E10
7.69999999999999929E0	6	1.48311593470443714E10
7.69999999999999929E0	7	1.73030192382184334E10
7.69999999999999929E0	8	1.97748791293924953E10
7.69999999999999929E0	9	2.22467390205665572E10
7.69999999999999929E0	10	2.47185989117406191E10

var_c	harmindex	freq[6, ::]
8.79999999999999893E0	0	0.00000000000000000E0
8.79999999999999893E0	1	2.46944788973996143E9
8.79999999999999893E0	2	4.93889577947992287E9
8.79999999999999893E0	3	7.40834366921988163E9
8.79999999999999893E0	4	9.87779155895984573E9
8.79999999999999893E0	5	1.23472394486998072E10
8.79999999999999893E0	6	1.48166873384397624E10
8.79999999999999893E0	7	1.72861352281797243E10
8.79999999999999893E0	8	1.97555831179196906E10
8.79999999999999893E0	9	2.22250310076596458E10
8.79999999999999893E0	10	2.46944788973996143E10

var_c	harmindex	freq[7, ::]
9.89999999999999858E0	0	0.00000000000000000E0
9.89999999999999858E0	1	2.46755991661092544E9
9.89999999999999858E0	2	4.93511983322185088E9
9.89999999999999858E0	3	7.40267974983277632E9
9.89999999999999858E0	4	9.87023966644370176E9
9.89999999999999858E0	5	1.23377995830546272E10
9.89999999999999858E0	6	1.48053594996655535E10
9.89999999999999858E0	7	1.72729194162764754E10
9.89999999999999858E0	8	1.97404793328874040E10
9.89999999999999858E0	9	2.22080392494983325E10
9.89999999999999858E0	10	2.46755991661092544E10

var_c	harmindex	freq[8, ::]
1.09999999999999987E1	0	0.00000000000000000E0
1.09999999999999987E1	1	2.46604193886504008E9
1.09999999999999987E1	2	4.93208387773008017E9
1.09999999999999987E1	3	7.39812581659511714E9
1.09999999999999987E1	4	9.86416775546016034E9
1.09999999999999987E1	5	1.23302096943251938E10
1.09999999999999987E1	6	1.47962516331902338E10
1.09999999999999987E1	7	1.72622935720552739E10
1.09999999999999987E1	8	1.97283355109203207E10
1.09999999999999987E1	9	2.21943774497853541E10
1.09999999999999987E1	10	2.46604193886503875E10

var_c	harmindex	freq[9, ::]
1.20999999999999974E1	0	0.00000000000000000E0
1.20999999999999974E1	1	2.46479489469272561E9
