	HB.var_c
0	2.20000000000000018E0
1	2.30000000000000027E0
2	2.40000000000000036E0
3	2.50000000000000044E0
4	2.60000000000000053E0
5	2.70000000000000062E0
6	2.80000000000000071E0
7	2.90000000000000080E0
8	3.00000000000000089E0
9	3.10000000000000098E0
10	3.20000000000000107E0
11	3.30000000000000115E0
12	3.40000000000000124E0
13	3.50000000000000133E0
14	3.60000000000000142E0
15	3.70000000000000151E0
16	3.80000000000000160E0
17	3.90000000000000169E0
18	4.00000000000000178E0
19	4.10000000000000142E0
20	4.20000000000000107E0
21	4.30000000000000071E0
22	4.40000000000000036E0
23	4.50000000000000000E0
24	4.59999999999999964E0
25	4.69999999999999929E0
26	4.79999999999999893E0
27	4.89999999999999858E0
28	4.99999999999999822E0
29	5.09999999999999787E0
30	5.19999999999999751E0
31	5.29999999999999716E0
32	5.39999999999999680E0
33	5.50000000000000000E0


var_c	harmindex	freq[0, ::]
2.20000000000000018E0	0	0.00000000000000000E0
2.20000000000000018E0	1	2.57026090668679164E9
2.20000000000000018E0	2	5.14052181337358327E9
2.20000000000000018E0	3	7.71078272006037668E9
2.20000000000000018E0	4	1.02810436267471661E10
2.20000000000000018E0	5	1.28513045334339560E10
2.20000000000000018E0	6	1.54215654401207525E10
2.20000000000000018E0	7	1.79918263468075423E10
2.20000000000000018E0	8	2.05620872534943322E10
2.20000000000000018E0	9	2.31323481601811265E10
2.20000000000000018E0	10	2.57026090668679119E10

var_c	harmindex	freq[1, ::]
2.30000000000000027E0	0	0.00000000000000000E0
2.30000000000000027E0	1	2.56597423809039427E9
2.30000000000000027E0	2	5.13194847618078853E9
2.30000000000000027E0	3	7.69792271427118369E9
2.30000000000000027E0	4	1.02638969523615775E10
2.30000000000000027E0	5	1.28298711904519713E10
2.30000000000000027E0	6	1.53958454285423674E10
2.30000000000000027E0	7	1.79618196666327590E10
2.30000000000000027E0	8	2.05277939047231550E10
2.30000000000000027E0	9	2.30937681428135466E10
2.30000000000000027E0	10	2.56597423809039427E10

