var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[0, ::]
2.20000000000000018E0	3.00000000000000000E8	-1.35545684738752792E2
2.20000000000000018E0	3.10000000000000009E8	-1.35822176497737335E2
2.20000000000000018E0	3.20000000000000018E8	-1.36089324550090862E2
2.20000000000000018E0	3.29999999999999982E8	-1.36347682140624293E2
2.20000000000000018E0	3.39999999999999991E8	-1.36597752593772936E2
2.20000000000000018E0	3.50000000000000000E8	-1.36839995212749788E2
2.20000000000000018E0	3.60000000000000009E8	-1.37074829592568959E2
2.20000000000000018E0	3.70000000000000018E8	-1.37302640885196992E2
2.20000000000000018E0	3.79999999999999982E8	-1.37523782678609963E2
2.20000000000000018E0	3.89999999999999991E8	-1.37738580717463099E2
2.20000000000000018E0	4.00000000000000000E8	-1.37947335554473893E2
2.20000000000000018E0	4.09999999999999964E8	-1.38150325016346764E2
2.20000000000000018E0	4.20000000000000018E8	-1.38347806512911076E2
2.20000000000000018E0	4.29999999999999982E8	-1.38540018702133039E2
2.20000000000000018E0	4.40000000000000036E8	-1.38727183531125653E2
2.20000000000000018E0	4.50000000000000000E8	-1.38909507466447280E2
2.20000000000000018E0	4.59999999999999964E8	-1.39087182929706321E2
2.20000000000000018E0	4.70000000000000018E8	-1.39260389599131917E2
2.20000000000000018E0	4.79999999999999982E8	-1.39429295344085458E2
2.20000000000000018E0	4.90000000000000036E8	-1.39594057188333953E2
2.20000000000000018E0	5.00000000000000000E8	-1.39754822210080709E2
2.20000000000000018E0	5.09999999999999964E8	-1.39911728518925771E2
2.20000000000000018E0	5.20000000000000018E8	-1.40064905486693991E2
2.20000000000000018E0	5.29999999999999982E8	-1.40214474969057279E2
2.20000000000000018E0	5.40000000000000036E8	-1.40360551414381729E2
2.20000000000000018E0	5.50000000000000000E8	-1.40503242533698547E2
2.20000000000000018E0	5.59999999999999964E8	-1.40642649914748175E2
2.20000000000000018E0	5.70000000000000018E8	-1.40778869320742506E2
2.20000000000000018E0	5.79999999999999982E8	-1.40911991025474381E2
2.20000000000000018E0	5.90000000000000036E8	-1.41042100341628096E2
2.20000000000000018E0	6.00000000000000000E8	-1.41169277944830718E2
2.20000000000000018E0	6.09999999999999964E8	-1.41293599958873672E2
2.20000000000000018E0	6.20000000000000018E8	-1.41415138542006780E2
2.20000000000000018E0	6.29999999999999982E8	-1.41533961873806846E2
2.20000000000000018E0	6.40000000000000036E8	-1.41650134596899813E2
2.20000000000000018E0	6.50000000000000000E8	-1.41763717934240718E2
2.20000000000000018E0	6.59999999999999964E8	-1.41874769900399178E2
2.20000000000000018E0	6.70000000000000018E8	-1.41983345556933260E2
2.20000000000000018E0	6.79999999999999982E8	-1.42089496988187891E2
2.20000000000000018E0	6.90000000000000036E8	-1.42193273793012565E2
2.20000000000000018E0	7.00000000000000000E8	-1.42294722990155043E2
2.20000000000000018E0	7.09999999999999964E8	-1.42393889113575378E2
2.20000000000000018E0	7.20000000000000018E8	-1.42490814597916571E2
2.20000000000000018E0	7.29999999999999982E8	-1.42585539648846749E2
2.20000000000000018E0	7.40000000000000036E8	-1.42678102493504499E2
2.20000000000000018E0	7.50000000000000000E8	-1.42768539514481985E2
2.20000000000000018E0	7.59999999999999964E8	-1.42856885198648875E2
2.20000000000000018E0	7.70000000000000018E8	-1.42943172306689847E2
2.20000000000000018E0	7.79999999999999982E8	-1.43027432049523684E2
2.20000000000000018E0	7.90000000000000036E8	-1.43109694082726446E2
2.20000000000000018E0	8.00000000000000000E8	-1.43189986517006873E2
2.20000000000000018E0	8.09999999999999964E8	-1.43268336082823100E2
2.20000000000000018E0	8.19999999999999929E8	-1.43344768323503557E2
2.20000000000000018E0	8.30000000000000071E8	-1.43419307324991752E2
2.20000000000000018E0	8.40000000000000036E8	-1.43491976053571646E2
2.20000000000000018E0	8.50000000000000000E8	-1.43562796318673191E2
2.20000000000000018E0	8.59999999999999964E8	-1.43631788867955601E2
2.20000000000000018E0	8.69999999999999929E8	-1.43698973393683271E2
2.20000000000000018E0	8.80000000000000071E8	-1.43764368591165570E2
2.20000000000000018E0	8.90000000000000036E8	-1.43827992159724860E2
2.20000000000000018E0	9.00000000000000000E8	-1.43889860919337198E2
2.20000000000000018E0	9.09999999999999964E8	-1.43949990846773490E2
2.20000000000000018E0	9.19999999999999929E8	-1.44008397183420511E2
2.20000000000000018E0	9.30000000000000071E8	-1.44065094139478989E2
2.20000000000000018E0	9.40000000000000036E8	-1.44120095367118095E2
2.20000000000000018E0	9.50000000000000000E8	-1.44173413778465975E2
2.20000000000000018E0	9.59999999999999964E8	-1.44225061518271280E2
2.20000000000000018E0	9.69999999999999929E8	-1.44275050134409311E2
2.20000000000000018E0	9.80000000000000071E8	-1.44323390556138476E2
2.20000000000000018E0	9.90000000000000036E8	-1.44370093032252433E2
2.20000000000000018E0	1.00000000000000000E9	-1.44415167335472461E2
2.20000000000000018E0	1.01000000000000001E9	-1.44458622643757861E2
2.20000000000000018E0	1.02000000000000002E9	-1.44500467558944523E2
2.20000000000000018E0	1.03000000000000003E9	-1.44540710224223301E2
2.20000000000000018E0	1.04000000000000004E9	-1.44579358372485656E2
2.20000000000000018E0	1.05000000000000004E9	-1.44616419090123394E2
2.20000000000000018E0	1.06000000000000005E9	-1.44651899203815537E2
2.20000000000000018E0	1.06999999999999984E9	-1.44685805002444789E2
2.20000000000000018E0	1.08000000000000007E9	-1.44718142418251938E2
2.20000000000000018E0	1.09000000000000008E9	-1.44748916977300679E2
2.20000000000000018E0	1.10000000000000009E9	-1.44778133800088926E2
2.20000000000000018E0	1.10999999999999988E9	-1.44805797740398634E2
2.20000000000000018E0	1.11999999999999988E9	-1.44831913194566186E2
2.20000000000000018E0	1.13000000000000012E9	-1.44856484292243470E2
2.20000000000000018E0	1.14000000000000012E9	-1.44879514815449717E2
2.20000000000000018E0	1.14999999999999991E9	-1.44901008242794371E2
2.20000000000000018E0	1.15999999999999992E9	-1.44920967783643229E2
2.20000000000000018E0	1.16999999999999993E9	-1.44939396376875562E2
2.20000000000000018E0	1.18000000000000016E9	-1.44956296588120814E2
2.20000000000000018E0	1.18999999999999995E9	-1.44971670807532349E2
2.20000000000000018E0	1.19999999999999996E9	-1.44985521165379838E2
2.20000000000000018E0	1.20999999999999996E9	-1.44997849476445673E2
2.20000000000000018E0	1.21999999999999997E9	-1.45008657368256566E2
2.20000000000000018E0	1.22999999999999998E9	-1.45017946253137753E2
2.20000000000000018E0	1.23999999999999999E9	-1.45025717268208720E2
2.20000000000000018E0	1.25000000000000000E9	-1.45031971334876220E2
2.20000000000000018E0	1.26000000000000001E9	-1.45036709135055508E2
2.20000000000000018E0	1.27000000000000002E9	-1.45039931192345750E2
2.20000000000000018E0	1.28000000000000003E9	-1.45041637844275195E2
2.20000000000000018E0	1.29000000000000004E9	-1.45041829064879946E2
2.20000000000000018E0	1.30000000000000004E9	-1.45040504781452562E2
2.20000000000000018E0	1.31000000000000005E9	-1.45037664678487666E2
2.20000000000000018E0	1.31999999999999984E9	-1.45033308191475840E2
2.20000000000000018E0	1.33000000000000007E9	-1.45027434623834028E2
2.20000000000000018E0	1.34000000000000008E9	-1.45020043018201705E2
2.20000000000000018E0	1.35000000000000009E9	-1.45011132223878803E2
2.20000000000000018E0	1.35999999999999988E9	-1.45000700932168436E2
2.20000000000000018E0	1.36999999999999988E9	-1.44988747587513389E2
2.20000000000000018E0	1.38000000000000012E9	-1.44975270419295055E2
2.20000000000000018E0	1.39000000000000012E9	-1.44960267517931629E2
2.20000000000000018E0	1.39999999999999991E9	-1.44943736661937272E2
2.20000000000000018E0	1.40999999999999992E9	-1.44925675491746087E2
2.20000000000000018E0	1.41999999999999993E9	-1.44906081399243369E2
2.20000000000000018E0	1.43000000000000016E9	-1.44884951514661209E2
2.20000000000000018E0	1.43999999999999995E9	-1.44862282800657205E2
2.20000000000000018E0	1.44999999999999996E9	-1.44838071935085710E2
2.20000000000000018E0	1.45999999999999996E9	-1.44812315340198383E2
2.20000000000000018E0	1.46999999999999997E9	-1.44785009226641881E2
2.20000000000000018E0	1.47999999999999998E9	-1.44756149524119793E2
2.20000000000000018E0	1.48999999999999999E9	-1.44725731822120118E2
2.20000000000000018E0	1.50000000000000000E9	-1.44693751572528595E2
2.20000000000000018E0	1.51000000000000001E9	-1.44660203789269559E2
2.20000000000000018E0	1.52000000000000002E9	-1.44625083239749985E2
2.20000000000000018E0	1.53000000000000003E9	-1.44588384419873917E2
2.20000000000000018E0	1.54000000000000004E9	-1.44550101411551801E2
2.20000000000000018E0	1.55000000000000004E9	-1.44510227998152541E2
2.20000000000000018E0	1.56000000000000005E9	-1.44468757617783150E2
2.20000000000000018E0	1.56999999999999984E9	-1.44425683316288112E2
2.20000000000000018E0	1.58000000000000007E9	-1.44380997736410044E2
2.20000000000000018E0	1.59000000000000008E9	-1.44334693160016281E2
2.20000000000000018E0	1.60000000000000009E9	-1.44286761415875397E2
2.20000000000000018E0	1.61000000000000010E9	-1.44237193885129544E2
2.20000000000000018E0	1.61999999999999988E9	-1.44185981513185202E2
2.20000000000000018E0	1.63000000000000012E9	-1.44133114772028614E2
2.20000000000000018E0	1.63999999999999990E9	-1.44078583596643695E2
2.20000000000000018E0	1.64999999999999991E9	-1.44022377423996817E2
2.20000000000000018E0	1.66000000000000014E9	-1.43964485159852940E2
2.20000000000000018E0	1.66999999999999993E9	-1.43904895105639907E2
2.20000000000000018E0	1.68000000000000016E9	-1.43843594986069734E2
2.20000000000000018E0	1.68999999999999995E9	-1.43780571928261591E2
2.20000000000000018E0	1.69999999999999996E9	-1.43715812335499216E2
2.20000000000000018E0	1.71000000000000019E9	-1.43649302059015072E2
2.20000000000000018E0	1.71999999999999997E9	-1.43581026109979781E2
2.20000000000000018E0	1.72999999999999998E9	-1.43510968847440945E2
2.20000000000000018E0	1.73999999999999977E9	-1.43439113828950404E2
2.20000000000000018E0	1.75000000000000000E9	-1.43365443810313509E2
2.20000000000000018E0	1.76000000000000023E9	-1.43289940708307251E2
2.20000000000000018E0	1.77000000000000002E9	-1.43212585564535244E2
2.20000000000000018E0	1.78000000000000003E9	-1.43133358498547181E2
2.20000000000000018E0	1.78999999999999981E9	-1.43052238674470944E2
2.20000000000000018E0	1.80000000000000004E9	-1.42969204246219350E2
2.20000000000000018E0	1.81000000000000005E9	-1.42884232334207950E2
2.20000000000000018E0	1.81999999999999984E9	-1.42797298949352047E2
2.20000000000000018E0	1.83000000000000007E9	-1.42708379011107001E2
2.20000000000000018E0	1.83999999999999986E9	-1.42617446195118136E2
2.20000000000000018E0	1.85000000000000009E9	-1.42524472942953118E2
2.20000000000000018E0	1.86000000000000010E9	-1.42429430426872061E2
2.20000000000000018E0	1.86999999999999988E9	-1.42332288421069708E2
2.20000000000000018E0	1.88000000000000012E9	-1.42233015307031341E2
2.20000000000000018E0	1.88999999999999990E9	-1.42131577989224489E2
2.20000000000000018E0	1.89999999999999991E9	-1.42027941792970580E2
2.20000000000000018E0	1.91000000000000014E9	-1.41922070485380081E2
2.20000000000000018E0	1.91999999999999993E9	-1.41813926079126928E2
2.20000000000000018E0	1.93000000000000016E9	-1.41703468863394511E2
2.20000000000000018E0	1.93999999999999995E9	-1.41590657282150079E2
2.20000000000000018E0	1.94999999999999996E9	-1.41475447849539115E2
2.20000000000000018E0	1.96000000000000019E9	-1.41357795087580818E2
2.20000000000000018E0	1.96999999999999997E9	-1.41237651381507279E2
2.20000000000000018E0	1.97999999999999998E9	-1.41114967025026306E2
2.20000000000000018E0	1.98999999999999977E9	-1.40989689915762595E2
2.20000000000000018E0	2.00000000000000000E9	-1.40861765672721928E2
2.20000000000000018E0	2.01000000000000023E9	-1.40731137393241990E2
2.20000000000000018E0	2.02000000000000002E9	-1.40597745607378255E2
2.20000000000000018E0	2.03000000000000025E9	-1.40461528170135930E2
2.20000000000000018E0	2.04000000000000004E9	-1.40322420159154815E2
2.20000000000000018E0	2.04999999999999982E9	-1.40180353768414645E2
2.20000000000000018E0	2.06000000000000005E9	-1.40035258176692912E2
2.20000000000000018E0	2.06999999999999984E9	-1.39887059483149767E2
2.20000000000000018E0	2.08000000000000007E9	-1.39735680572699117E2
2.20000000000000018E0	2.08999999999999986E9	-1.39581041090284863E2
2.20000000000000018E0	2.10000000000000009E9	-1.39423057204272882E2
2.20000000000000018E0	2.11000000000000032E9	-1.39261641697446814E2
2.20000000000000018E0	2.12000000000000011E9	-1.39096703792474385E2
2.20000000000000018E0	2.12999999999999989E9	-1.38928149157110759E2
2.20000000000000018E0	2.13999999999999968E9	-1.38755879820365502E2
2.20000000000000018E0	2.14999999999999991E9	-1.38579794249452370E2
2.20000000000000018E0	2.16000000000000014E9	-1.38399787320955570E2
2.20000000000000018E0	2.16999999999999993E9	-1.38215750469147602E2
2.20000000000000018E0	2.18000000000000016E9	-1.38027571775147728E2
2.20000000000000018E0	2.18999999999999995E9	-1.37835136209735909E2
2.20000000000000018E0	2.20000000000000018E9	-1.37638325938800499E2
2.20000000000000018E0	2.20999999999999996E9	-1.37437020749221062E2
2.20000000000000018E0	2.21999999999999975E9	-1.37231098590069500E2
2.20000000000000018E0	2.22999999999999998E9	-1.37020436272896662E2
2.20000000000000018E0	2.23999999999999977E9	-1.36804910441138849E2
2.20000000000000018E0	2.25000000000000000E9	-1.36584398703520948E2
2.20000000000000018E0	2.26000000000000023E9	-1.36358781164690357E2
2.20000000000000018E0	2.27000000000000002E9	-1.36127942249985279E2
2.20000000000000018E0	2.28000000000000025E9	-1.35891773045390774E2
2.20000000000000018E0	2.29000000000000004E9	-1.35650174171966675E2
2.20000000000000018E0	2.29999999999999982E9	-1.35403059344997034E2
2.20000000000000018E0	2.31000000000000005E9	-1.35150359755547766E2
2.20000000000000018E0	2.31999999999999984E9	-1.34892029456550122E2
2.20000000000000018E0	2.33000000000000007E9	-1.34628051911947511E2
2.20000000000000018E0	2.33999999999999986E9	-1.34358448009148157E2
2.20000000000000018E0	2.35000000000000009E9	-1.34083285738724922E2
2.20000000000000018E0	2.36000000000000032E9	-1.33802691907967786E2
2.20000000000000018E0	2.37000000000000011E9	-1.33516866114333554E2
2.20000000000000018E0	2.37999999999999989E9	-1.33226097378176811E2
2.20000000000000018E0	2.38999999999999968E9	-1.32930783649382023E2
2.20000000000000018E0	2.39999999999999991E9	-1.32631454373444257E2
2.20000000000000018E0	2.41000000000000014E9	-1.32328796052834119E2
2.20000000000000018E0	2.41999999999999993E9	-1.32023680257670861E2
2.20000000000000018E0	2.43000000000000016E9	-1.31717192862217969E2
2.20000000000000018E0	2.43999999999999995E9	-1.31410661995109823E2
2.20000000000000018E0	2.45000000000000018E9	-1.31105679987018431E2
2.20000000000000018E0	2.45999999999999996E9	-1.30804110946932584E2
2.20000000000000018E0	2.46999999999999975E9	-1.30508069036501029E2
2.20000000000000018E0	2.47999999999999998E9	-1.30219839730902409E2
2.20000000000000018E0	2.48999999999999977E9	-1.29941689999987675E2
2.20000000000000018E0	2.50000000000000000E9	-1.29675450805046166E2
2.20000000000000018E0	2.51000000000000023E9	-1.29421589069995524E2
2.20000000000000018E0	2.52000000000000002E9	-1.29176977381788349E2
2.20000000000000018E0	2.53000000000000025E9	-1.28928738759478279E2
2.20000000000000018E0	2.54000000000000004E9	-1.28633406157353680E2
2.20000000000000018E0	2.54999999999999982E9	-1.28121697282257907E2
2.20000000000000018E0	2.56000000000000005E9	-1.26396513439869684E2
2.20000000000000018E0	2.56999999999999984E9	-1.08636253483623269E2
2.20000000000000018E0	2.58000000000000007E9	-1.26228389811260988E2
2.20000000000000018E0	2.58999999999999986E9	-1.28108145260108075E2
2.20000000000000018E0	2.60000000000000009E9	-1.28637355306094703E2
2.20000000000000018E0	2.61000000000000032E9	-1.28934401822493916E2
2.20000000000000018E0	2.62000000000000011E9	-1.29181698445362980E2
2.20000000000000018E0	2.62999999999999989E9	-1.29425046665032029E2
2.20000000000000018E0	2.63999999999999968E9	-1.29677851503463692E2
2.20000000000000018E0	2.64999999999999991E9	-1.29943360261134977E2
2.20000000000000018E0	2.66000000000000014E9	-1.30221115866386472E2
2.20000000000000018E0	2.66999999999999993E9	-1.30509265333791213E2
2.20000000000000018E0	2.68000000000000016E9	-1.30805511565570387E2
2.20000000000000018E0	2.68999999999999995E9	-1.31107538883617813E2
2.20000000000000018E0	2.70000000000000018E9	-1.31413205765786789E2
2.20000000000000018E0	2.70999999999999996E9	-1.31720624551373122E2
2.20000000000000018E0	2.71999999999999975E9	-1.32028183386036391E2
2.20000000000000018E0	2.72999999999999998E9	-1.32334538478367181E2
2.20000000000000018E0	2.73999999999999977E9	-1.32638591799610683E2
2.20000000000000018E0	2.75000000000000000E9	-1.32939462760600469E2
2.20000000000000018E0	2.76000000000000023E9	-1.33236458553319492E2
2.20000000000000018E0	2.77000000000000002E9	-1.33529045731059792E2
2.20000000000000018E0	2.78000000000000025E9	-1.33816824319176164E2
2.20000000000000018E0	2.79000000000000004E9	-1.34099504907076050E2
2.20000000000000018E0	2.79999999999999982E9	-1.34376888874339473E2
2.20000000000000018E0	2.81000000000000005E9	-1.34648851512092982E2
2.20000000000000018E0	2.81999999999999984E9	-1.34915327832910314E2
2.20000000000000018E0	2.83000000000000007E9	-1.35176300713228881E2
2.20000000000000018E0	2.83999999999999986E9	-1.35431791075387808E2
2.20000000000000018E0	2.85000000000000009E9	-1.35681849726983561E2
2.20000000000000018E0	2.86000000000000032E9	-1.35926550740647034E2
2.20000000000000018E0	2.87000000000000011E9	-1.36165985975425308E2
2.20000000000000018E0	2.87999999999999989E9	-1.36400260644745464E2
2.20000000000000018E0	2.88999999999999968E9	-1.36629489677507276E2
2.20000000000000018E0	2.89999999999999991E9	-1.36853794826294117E2
2.20000000000000018E0	2.91000000000000014E9	-1.37073302309268397E2
2.20000000000000018E0	2.91999999999999993E9	-1.37288140873674713E2
2.20000000000000018E0	2.93000000000000016E9	-1.37498440363387853E2
2.20000000000000018E0	2.93999999999999995E9	-1.37704330434984912E2
2.20000000000000018E0	2.95000000000000018E9	-1.37905939686321855E2
2.20000000000000018E0	2.95999999999999996E9	-1.38103394889604170E2
2.20000000000000018E0	2.96999999999999975E9	-1.38296820449322899E2
2.20000000000000018E0	2.97999999999999998E9	-1.38486337939559645E2
2.20000000000000018E0	2.98999999999999977E9	-1.38672065839002223E2
2.20000000000000018E0	3.00000000000000000E9	-1.38854119276601962E2

var_c	indep(index, 1)	plot_vs(pnmx, noisefreq)[1, ::]
2.30000000000000027E0	3.00000000000000000E8	-1.37465365619050450E2
2.30000000000000027E0	3.10000000000000009E8	-1.37741767983930186E2
2.30000000000000027E0	3.20000000000000018E8	-1.38008827104204723E2
2.30000000000000027E0	3.29999999999999982E8	-1.38267096405183487E2
2.30000000000000027E0	3.39999999999999991E8	-1.38517079171250890E2
2.30000000000000027E0	3.50000000000000000E8	-1.38759234565394785E2
2.30000000000000027E0	3.60000000000000009E8	-1.38993982416581097E2
2.30000000000000027E0	3.70000000000000018E8	-1.39221707719042653E2
2.30000000000000027E0	3.79999999999999982E8	-1.39442764130948449E2
2.30000000000000027E0	3.89999999999999991E8	-1.39657477258277396E2
2.30000000000000027E0	4.00000000000000000E8	-1.39866147768437932E2
2.30000000000000027E0	4.09999999999999964E8	-1.40069053370127028E2
2.30000000000000027E0	4.20000000000000018E8	-1.40266451424084604E2
2.30000000000000027E0	4.29999999999999982E8	-1.40458580716735737E2
2.30000000000000027E0	4.40000000000000036E8	-1.40645663014918654E2
2.30000000000000027E0	4.50000000000000000E8	-1.40827904762801426E2
2.30000000000000027E0	4.59999999999999964E8	-1.41005498466614698E2
2.30000000000000027E0	4.70000000000000018E8	-1.41178623674516457E2
2.30000000000000027E0	4.79999999999999982E8	-1.41347448218365201E2
2.30000000000000027E0	4.90000000000000036E8	-1.41512129112736784E2
2.30000000000000027E0	5.00000000000000000E8	-1.41672813578197698E2
2.30000000000000027E0	5.09999999999999964E8	-1.41829639386491069E2
2.30000000000000027E0	5.20000000000000018E8	-1.41982736187645653E2
2.30000000000000027E0	5.29999999999999982E8	-1.42132225663671563E2
2.30000000000000027E0	5.40000000000000036E8	-1.42278222215220085E2
2.30000000000000027E0	5.50000000000000000E8	-1.42420833598157404E2
2.30000000000000027E0	5.59999999999999964E8	-1.42560161439095845E2
2.30000000000000027E0	5.70000000000000018E8	-1.42696301349854648E2
2.30000000000000027E0	5.79999999999999982E8	-1.42829343660710562E2
2.30000000000000027E0	5.90000000000000036E8	-1.42959373787745725E2
2.30000000000000027E0	6.00000000000000000E8	-1.43086472225307415E2
2.30000000000000027E0	6.09999999999999964E8	-1.43210715202963246E2
2.30000000000000027E0	6.20000000000000018E8	-1.43332174836358117E2
2.30000000000000027E0	6.29999999999999982E8	-1.43450919281613709E2
2.30000000000000027E0	6.40000000000000036E8	-1.43567013244520081E2
2.30000000000000027E0	6.50000000000000000E8	-1.43680517931177909E2
2.30000000000000027E0	6.59999999999999964E8	-1.43791491320649567E2
2.30000000000000027E0	6.70000000000000018E8	-1.43899988495064779E2
2.30000000000000027E0	6.79999999999999982E8	-1.44006061583221578E2
2.30000000000000027E0	6.90000000000000036E8	-1.44109760193254921E2
2.30000000000000027E0	7.00000000000000000E8	-1.44211131241887314E2
2.30000000000000027E0	7.09999999999999964E8	-1.44310219464715206E2
2.30000000000000027E0	7.20000000000000018E8	-1.44407067215469409E2
2.30000000000000027E0	7.29999999999999982E8	-1.44501714701128381E2
2.30000000000000027E0	7.40000000000000036E8	-1.44594200218073810E2
2.30000000000000027E0	7.50000000000000000E8	-1.44684560110109284E2
2.30000000000000027E0	7.59999999999999964E8	-1.44772828903012596E2
2.30000000000000027E0	7.70000000000000018E8	-1.44859039408902279E2
2.30000000000000027E0	7.79999999999999982E8	-1.44943222880055878E2
2.30000000000000027E0	7.90000000000000036E8	-1.45025408926975130E2
2.30000000000000027E0	8.00000000000000000E8	-1.45105625710440966E2
2.30000000000000027E0	8.09999999999999964E8	-1.45183900133973687E2
2.30000000000000027E0	8.19999999999999929E8	-1.45260257511288216E2
2.30000000000000027E0	8.30000000000000071E8	-1.45334722141803296E2
2.30000000000000027E0	8.40000000000000036E8	-1.45407317012742454E2
2.30000000000000027E0	8.50000000000000000E8	-1.45478063954192893E2
2.30000000000000027E0	8.59999999999999964E8	-1.45546983716524103E2
2.30000000000000027E0	8.69999999999999929E8	-1.45614096049460873E2
2.30000000000000027E0	8.80000000000000071E8	-1.45679419687422707E2
2.30000000000000027E0	8.90000000000000036E8	-1.45742972352553535E2
2.30000000000000027E0	9.00000000000000000E8	-1.45804770975298004E2
2.30000000000000027E0	9.09999999999999964E8	-1.45864831517814042E2
2.30000000000000027E0	9.19999999999999929E8	-1.45923169186841095E2
2.30000000000000027E0	9.30000000000000071E8	-1.45979798438894859E2
2.30000000000000027E0	9.40000000000000036E8	-1.46034732831044112E2
2.30000000000000027E0	9.50000000000000000E8	-1.46087985312003688E2
2.30000000000000027E0	9.59999999999999964E8	-1.46139568147620258E2
2.30000000000000027E0	9.69999999999999929E8	-1.46189492937001164E2
2.30000000000000027E0	9.80000000000000071E8	-1.46237770547749557E2
2.30000000000000027E0	9.90000000000000036E8	-1.46284411450543717E2
